Timestamp,Status,ResponseTime,Reply
2026-06-26 17:44:47,SUCCESS,257ms,Reply from 4.2.2.2: bytes=32 time=257ms TTL=50
2026-06-26 17:44:48,SUCCESS,269ms,Reply from 4.2.2.2: bytes=32 time=269ms TTL=50
2026-06-26 17:44:50,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:51,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:52,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:53,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:55,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:56,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:57,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:58,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:00,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:01,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:02,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:04,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:45:05,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:06,SUCCESS,258ms,Reply from 4.2.2.2: bytes=32 time=258ms TTL=50
2026-06-26 17:45:07,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:09,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:45:10,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:11,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:12,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:14,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:15,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:45:16,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:18,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:19,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:20,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:21,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:23,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:45:24,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:25,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:27,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:45:28,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:45:29,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:45:30,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:32,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:33,SUCCESS,258ms,Reply from 4.2.2.2: bytes=32 time=258ms TTL=50
2026-06-26 17:45:34,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:45:36,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:45:37,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:45:38,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
